time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-19T08:23:20.410Z,24.8378,122.0383,5.98,4.2,mb,,109,0.509,0.74,us,us10003qzs,2016-01-15T20:51:13.040Z,"30km ENE of Yilan, Taiwan",earthquake,2.6,6.2,0.216,6,reviewed,us,us
2015-10-19T07:26:25.800Z,24.8116,122.002,10,4.5,mb,,54,0.486,0.51,us,us10003qzn,2016-01-15T20:51:13.040Z,"25km ENE of Yilan, Taiwan",earthquake,1.3,1.9,0.163,11,reviewed,us,us
2015-10-19T07:20:16.020Z,24.8261,122.0068,3.79,4.5,mwr,,50,0.485,0.38,us,us10003plj,2016-01-15T20:51:12.040Z,"26km ENE of Yilan, Taiwan",earthquake,2.2,3.9,0.062,25,reviewed,us,us
2015-10-19T05:42:12.100Z,24.8005,122.0007,5.02,4.5,mwr,,41,0.488,0.68,us,us10003pld,2016-01-15T20:51:12.040Z,"25km E of Yilan, Taiwan",earthquake,6.7,3.5,0.059,28,reviewed,us,us
2015-10-19T03:55:46.800Z,24.83,121.96,16.3,4,ml,,,,0.49,us,us10003z5d,2016-01-15T20:51:11.040Z,"22km ENE of Yilan, Taiwan",earthquake,2.1,6.7,,,reviewed,tap,tap
2015-10-19T02:17:37.110Z,24.7696,122.0479,10,5.3,mww,,30,0.539,1.26,us,us10003pkj,2016-11-10T21:56:29.402Z,"27km NE of Su'ao, Taiwan",earthquake,3,1.4,,,reviewed,us,us
2015-10-15T23:54:28.000Z,24.35,121.73,18.7,4,mwr,,,,0.47,us,us10003qq6,2016-01-15T20:50:43.040Z,"30km SSW of Su'ao, Taiwan",earthquake,2.5,3.4,0.098,10,reviewed,tap,us
2015-10-15T23:52:46.100Z,24.307,121.7541,17.76,4.2,mwr,,51,0.196,0.49,us,us10003p1a,2016-01-15T20:50:43.040Z,"33km SSW of Su'ao, Taiwan",earthquake,3.3,2.6,0.066,22,reviewed,us,us
2015-10-13T11:49:04.240Z,23.4496,121.6986,45.29,4.9,mwr,,67,0.373,0.96,us,us10003naa,2016-11-10T21:55:58.128Z,"59km S of Hualian, Taiwan",earthquake,3.1,5.5,0.062,25,reviewed,us,us
2015-10-12T11:14:47.120Z,22.458,121.4876,10,4.9,mb,,90,0.519,1.06,us,us10003myn,2016-11-10T21:55:52.070Z,"48km SE of Taitung City, Taiwan",earthquake,5.4,1.8,0.062,96,reviewed,us,us
2015-10-07T10:15:13.800Z,24.83,122.13,6.9,4.1,ml,,,,1.68,us,us10003rap,2016-01-04T22:29:31.040Z,"38km ENE of Yilan, Taiwan",earthquake,3.4,4.5,,,reviewed,tap,tap
