time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-20T23:43:18.178Z,35.1547,20.2872,20.22,5.7,mww,,22,2.415,0.81,us,us70009m4x,2020-05-21T01:45:47.113Z,"224km SW of Methoni, Greece",earthquake,6.8,3.7,0.048,42,reviewed,us,us
2020-05-20T23:42:20.180Z,17.959,-66.985,8,3.06,md,23,192,0.0601,0.19,pr,pr2020141014,2020-05-21T02:30:21.040Z,"9km SW of Guanica, Puerto Rico",earthquake,0.43,0.73,0.28,19,reviewed,pr,pr
2020-05-20T23:29:00.970Z,38.1235,-118.066,7.5,3,ml,30,46.55,0.081,0.09,nn,nn00729788,2020-05-21T02:24:58.040Z,"65km SE of Hawthorne, Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-05-20T23:24:30.550Z,17.8345,-66.8836,12,2.56,md,17,255,0.1407,0.24,pr,pr2020141013,2020-05-21T00:15:16.911Z,"15km S of Guanica, Puerto Rico",earthquake,0.82,0.64,0.22,12,reviewed,pr,pr
2020-05-20T23:11:58.860Z,19.2173333,-155.4181667,32.66,2.71,ml,55,139,0.028,0.12,hv,hv71520597,2020-05-21T02:49:20.220Z,"5km NE of Pahala, Hawaii",earthquake,0.43,0.6,0.189,32,reviewed,hv,hv
2020-05-20T23:02:58.053Z,59.6553,-152.0664,70.7,3.4,ml,,,,0.53,ak,ak0206hkhgel,2020-05-20T23:12:43.926Z,"21km SW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-20T22:30:17.430Z,38.1615,-117.925,6.5,2.7,ml,17,98.95,0.453,0.17,nn,nn00729755,2020-05-20T22:42:00.040Z,"60km WNW of Tonopah, Nevada",earthquake,,16.1,,,automatic,nn,nn
2020-05-20T21:17:33.394Z,38.2018,-117.7508,9.1,3,ml,24,49.41,0.103,0.1547,nn,nn00729705,2020-05-21T02:13:07.890Z,"48km WNW of Tonopah, Nevada",earthquake,,1.4,0.31,5,reviewed,nn,nn
2020-05-20T21:07:00.694Z,38.1925,-117.7344,7.5,3.4,ml,28,48.73,0.112,0.1539,nn,nn00729693,2020-05-21T02:28:03.881Z,"44km WNW of Tonopah, Nevada",earthquake,,0.8,0.26,9,reviewed,nn,nn
2020-05-20T20:54:53.227Z,54.6318,-156.7613,5.1,3.1,ml,,,,1.11,ak,ak0206hj0afb,2020-05-21T01:25:24.147Z,"151km SSW of Chirikof Island, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-05-20T20:46:45.814Z,61.3818,-150.1131,19.6,2.5,ml,,,,0.91,ak,ak0206hiyk8m,2020-05-20T23:10:30.040Z,"14km SSW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-05-20T20:36:53.780Z,17.8436,-66.9073,7,2.91,md,14,258,0.1345,0.23,pr,pr2020141011,2020-05-20T22:48:24.040Z,"22km S of Guanica, Puerto Rico",earthquake,0.89,0.65,0.14,7,reviewed,pr,pr
2020-05-20T20:35:23.620Z,38.1527,-117.974,14.7,2.5,ml,26,59.82,0.026,0.23,nn,nn00729665,2020-05-20T22:31:35.040Z,"68km SE of Hawthorne, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-05-20T20:33:09.124Z,38.2333,-117.7867,7,2.9,ml,25,51.48,0.098,0.1481,nn,nn00729662,2020-05-21T02:13:01.007Z,"53km WNW of Tonopah, Nevada",earthquake,,1.4,0.34,6,reviewed,nn,nn
2020-05-20T20:31:53.340Z,-16.3004,167.9296,179.47,5.3,mww,,59,1.099,0.84,us,us70009lzu,2020-05-20T21:42:18.040Z,"58km ESE of Lakatoro, Vanuatu",earthquake,8.8,5.3,0.098,10,reviewed,us,us
2020-05-20T20:24:46.700Z,18.0121,-66.7581,14,2.95,md,19,142,0.1266,0.2,pr,pr2020141010,2020-05-21T02:59:51.116Z,"2km E of Magas Arriba, Puerto Rico",earthquake,0.47,0.57,0.36,11,reviewed,pr,pr
2020-05-20T20:19:14.648Z,38.1855,-117.7417,8,3.4,ml,28,48.43,0.105,0.1423,nn,nn00729653,2020-05-21T02:27:08.264Z,"45km WNW of Tonopah, Nevada",earthquake,,0.7,0.24,9,reviewed,nn,nn
2020-05-20T20:17:43.320Z,38.2098,-117.7345,6.8,2.6,ml,27,74.08,0.119,0.13,nn,nn00729650,2020-05-20T20:30:21.040Z,"46km WNW of Tonopah, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-05-20T20:01:40.220Z,38.159,-117.9442,7.4,2.7,ml,30,48.43,0.034,0.1,nn,nn00729641,2020-05-20T20:20:56.040Z,"64km W of Tonopah, Nevada",earthquake,,10.4,,,automatic,nn,nn
2020-05-20T19:38:20.747Z,54.741,-156.8834,0,3.2,ml,,,,0.58,ak,ak0206hibcuw,2020-05-20T20:12:35.040Z,"152km SSW of Chirikof Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-05-20T19:33:17.950Z,17.9485,-66.982,7,2.5,md,7,216,0.0656,0.15,pr,pr2020141009,2020-05-20T20:00:08.622Z,"7km ESE of La Parguera, Puerto Rico",earthquake,1.04,0.4,0.4,4,reviewed,pr,pr
2020-05-20T19:21:01.294Z,58.3838,-151.0492,9.6,2.9,ml,,,,0.59,ak,ak0206hi7o7p,2020-05-20T19:58:46.040Z,"101km NE of Kodiak, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-05-20T18:38:06.936Z,38.207,-117.7314,9.7,3.5,ml,25,49.49,0.119,0.1363,nn,nn00729592,2020-05-21T02:26:15.336Z,"44km WNW of Tonopah, Nevada",earthquake,,1.2,0.37,6,reviewed,nn,nn
2020-05-20T18:00:31.340Z,34.1849,25.5335,10,4.4,mb,,83,1.221,1.25,us,us70009lvp,2020-05-20T18:46:59.040Z,"93km SSW of Ierapetra, Greece",earthquake,6.4,1.9,0.094,32,reviewed,us,us
2020-05-20T17:35:18.010Z,38.1997,-117.7302,6,2.8,ml,31,50.86,0.203,0.13,nn,nn00729560,2020-05-20T18:33:37.040Z,"45km WNW of Tonopah, Nevada",earthquake,,13.1,,,automatic,nn,nn
2020-05-20T17:18:26.292Z,54.6981,-156.8576,10,4.1,ml,,,,0.59,ak,ak0206hh07hh,2020-05-20T17:55:44.040Z,"129km SW of Chirikof Island, Alaska",earthquake,,0,,,reviewed,ak,ak
2020-05-20T17:13:22.796Z,54.63,-156.7835,10,4.6,ml,,,,0.79,ak,ak0206hgz4pc,2020-05-20T17:39:15.618Z,"137km SW of Chirikof Island, Alaska",earthquake,,0,,,reviewed,ak,ak
2020-05-20T16:51:28.819Z,56.1033,-149.6276,10,3.7,ml,,214,2.311,0.99,us,us70009lue,2020-05-21T00:54:07.258Z,"252km SE of Kodiak, Alaska",earthquake,7.9,2,0.048,56,reviewed,us,us
2020-05-20T16:47:10.570Z,38.2008,-117.9657,0,2.8,ml,18,78.58,0.047,0.25,nn,nn00729538,2020-05-20T23:05:20.040Z,"65km WNW of Tonopah, Nevada",earthquake,,9.3,,,automatic,nn,nn
2020-05-20T16:40:56.390Z,35.7016667,-117.4961667,8.83,3.58,mw,45,63,0.119,0.17,ci,ci39208391,2020-05-21T00:14:48.920Z,"11km SW of Searles Valley, CA",earthquake,0.14,0.48,,4,reviewed,ci,ci
2020-05-20T16:37:37.230Z,38.171,-117.9487,0.3,2.7,ml,19,55.13,0.012,0.12,nn,nn00729530,2020-05-20T22:51:05.040Z,"64km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-05-20T16:35:25.175Z,38.1511,-117.9786,11.7,3.1,ml,24,47.53,0.019,0.1237,nn,nn00729525,2020-05-21T02:12:51.089Z,"66km W of Tonopah, Nevada",earthquake,,0.8,0.25,7,reviewed,nn,nn
